(3/4)I;24;Bb&9;FM7;BbM7;Eb7;Dm7;Gm7,Am7;;
C;32;BbM7,Am7;Gm7,(Gm7,Am7);BbM7,Am7;Gm7,(Gm7,Am7);BbM7,Am7;Gm7,(Gm7,Am7);BbM7,Am7;Gm7,(Gm7,Am7)
A;32;BbM7,Am7;Gm7,(Gm7,Am7);BbM7,Am7;Gm7,(Gm7,Am7);BbM7,Am7;Gm7,(Gm7,Am7);BbM7,Am7;Gm7,(Gm7,Am7)
A';32;BbM7,Am7;Gm7,(Gm7,Am7);BbM7,Am7;Gm7,(Gm7,Am7);BbM7,Am7;Gm7,(Gm7,Am7);BbM7,Am7;Gm7,(Gm7,Am7)
C;32;BbM7,Am7;Gm7,(Gm7,Am7);BbM7,Am7;Gm7,(Gm7,Am7);BbM7,Am7;Gm7,(Gm7,Am7);BbM7,Am7;Gm7,(Gm7,Am7)
A'';32;BbM7,Am7;Gm7,(Gm7,Am7);BbM7,Am7;Gm7,(Gm7,Am7);BbM7,Am7;Gm7,(Gm7,Am7);BbM7,Am7;Gm7,(Gm7,Am7)
AC;32;BbM7,Am7;Gm7,(Gm7,Am7);BbM7,Am7;Gm7,(Gm7,Am7);BbM7,Am7;Gm7,(Gm7,Am7);BbM7,Am7;Gm7,(Gm7,Am7)
X;32;Gm7;FM7;EbM7;Dm7;Gm7;FM7;EbM7;EbM7
AC;32;BbM7,Am7;Gm7,(Gm7,Am7);BbM7,Am7;Gm7,(Gm7,Am7);BbM7,Am7;Gm7,(Gm7,Am7);BbM7,Am7;Gm7,(Gm7,Am7)
AC;32;BbM7,Am7;Gm7,(Gm7,Am7);BbM7,Am7;Gm7,(Gm7,Am7);BbM7,Am7;Gm7,(Gm7,Am7);BbM7,Am7;Gm7,(Gm7,Am7)
C>;24;BbM7,Am7;Gm7,(Gm7,Am7);BbM7,Am7;Gm7,(Gm7,Am7);BbM7,Am7;Gm7,(Gm7,Am7);;
