-;6;N,(N,%);N,(N,%)
I1/C;40;Eb,(Eb,%);Eb,%;Eb,(Eb,%);Eb,%;Gm,(Gm,%);Gm,%;Gm,(Gm,%);Gm,%;Eb,(Eb,%);Eb,%;Eb,(Eb,%);Eb,%;Gm,(Gm,%);Gm,%;Gm,(Gm,%);Gm,%
I2/C;45;Eb,(Eb,%);Eb,%;Eb,(Eb,%);Eb,%;Gm,(Gm,%);Gm,%;Gm,(Gm,%);Gm,%;Eb,(Eb,%);Eb,%;Eb,(Eb,%);Eb,%;Gm,(Gm,%);Gm,%;Gm,(D,%);D,%;D,(D,%);D,%
A-;48;Cm,(Cm,%);Dm,(Dm,%);Cm,(Cm,%);Dm,(Dm,%);Cm,(Cm,%);Dm,(Dm,%);Gm,(Gm,%);Gm,(Gm,%);Cm,(Cm,%);Dm,(Dm,%);Cm,(Cm,%);Dm,(Dm,%);Cm,(Cm,%);Dm,(Dm,%);Gm7,(Gm7,%);Gm7,(Gm7,%)
B-;48;Cm,(Cm,%);Dm,(Dm,%);Bb,(Bb,%);Bb,(Bb,%);Cm,(Cm,%);Dm,(Dm,%);Gm,(Gm,%);Gm,(Gm,%);Cm,(Cm,%);Dm,(Dm,%);Bb,(Bb,%);Bb,(Bb,%);Cm,(Cm,%);Dm,(Dm,%);Eb6,(Eb6,%);F6,(F6,%)
A;48;Cm,(Cm,%);Dm,(Dm,%);Cm,(Cm,%);Dm,(Dm,%);Cm,(Cm,%);Dm,(Dm,%);Gm,(Gm,%);Gm,(Gm,%);Cm,(Cm,%);Dm,(Dm,%);Cm,(Cm,%);Dm,(Dm,%);Cm,(Cm,%);Dm,(Dm,%);Gm7,(Gm7,%);Gm7,(Gm7,%)
B;48;Cm,(Cm,%);Dm,(Dm,%);Bb,(Bb,%);Bb,(Bb,%);Cm,(Cm,%);Dm,(Dm,%);Gm,(Gm,%);Gm,(Gm,%);Cm,(Cm,%);Dm,(Dm,%);Bb,(Bb,%);Bb,(Bb,%);Cm,(Cm,%);Dm,(Dm,%);Eb6,(Eb6,%);F6,(F6,%)
C;40;Eb,(Eb,%);Eb,%;Eb,(Eb,%);Eb,%;Gm,(Gm,%);Gm,%;Gm,(Gm,%);Gm,%;Eb,(Eb,%);Eb,%;Eb,(Eb,%);Eb,%;Gm,(Gm,%);Gm,%;Gm,(Gm,%);Gm,%
D/C;40;Eb,(Eb,%);Eb,%;Eb,(Eb,%);Eb,%;Gm,(Gm,%);Gm,%;Gm,(Gm,%);Gm,%;Eb,(Eb,%);Eb,%;Eb,(Eb,%);Eb,%;Gm,(Gm,%);Gm,%;Gm,(Gm,%);Gm,%
X_;48;EbM7,(EbM7,%);Dm7,%;C#M7,(C#M7,%);Cm7,%;BM7,(BM7,%);Bbm7,%;AM7,(AM7,%);Abm7,%;EbM7,(EbM7,%);Dm7,%;C#M7,(C#M7,%);Cm7,%;BM7,(BM7,%);Bbm7,%;AM7,(AM7,%);Abm7,%;AM7,Bb7;Cm7,Dm7;[Eb6,(Eb6,%)];[F6,(N,%)]
B~;48;Cm,(Cm,%);Dm,(Dm,%);Bb,(Bb,%);Bb,(Bb,%);Cm,(Cm,%);Dm,(Dm,%);Gm,(Gm,%);Gm,(Gm,%);Cm,(Cm,%);Dm,(Dm,%);Bb,(Bb,%);Bb,(Bb,%);Cm,(Cm,%);Dm,(Dm,%);Eb6,(Eb6,%);F6,(F6,%)
C;40;Eb,(Eb,%);Eb,%;Eb,(Eb,%);Eb,%;Gm,(Gm,%);Gm,%;Gm,(Gm,%);Gm,%;Eb,(Eb,%);Eb,%;Eb,(Eb,%);Eb,%;Gm,(Gm,%);Gm,%;Gm,(Gm,%);Gm,%
C;40;Eb,(Eb,%);Eb,%;Eb,(Eb,%);Eb,%;Gm,(Gm,%);Gm,%;Gm,(Gm,%);Gm,%;Eb,(Eb,%);Eb,%;Eb,(Eb,%);Eb,%;Gm,(Gm,%);Gm,%;Gm,(Gm,%);Gm,%
CD;40;Eb,(Eb,%);Eb,%;Eb,(Eb,%);Eb,%;Gm,(Gm,%);Gm,%;Gm,(Gm,%);Gm,%;Eb,(Eb,%);Eb,%;Eb,(Eb,%);Eb,%;Gm,(Gm,%);Gm,%;Gm,(Gm,%);Gm,%
I1+/C;40;Eb,(Eb,%);Eb,%;Eb,(Eb,%);Eb,%;Gm,(Gm,%);Gm,%;Gm,(Gm,%);Gm,%;Eb,(Eb,%);Eb,%;Eb,(Eb,%);Eb,%;Gm,(Gm,%);Gm,%;Gm,(Gm,%);Gm,%
(3/8)J;14;Eb,(Eb,%);(Eb,%),%;Gm,(Gm,%);F,%;(Gm,N),(N,%);N,%
