G;32;Bm,(Bm,F#);C;Bm,(Bm,F#);C;Bm,(Bm,F#);C;Bm,(Bm,F#);C
H;22;Bm;Bm;Bm;Bm;Bm;(Bm,N),%
I;44;Bm;Bm,(Bm,A);Bm;Bm,(Bm,A);Bm;Bm,(Bm,A);Bm;Bm,(Bm,A);G,A;(Bm,N),(N,A);(Bm,N),N
A0;32;Bm;A6;GM7;A6;Bm;A6;GM7;A6
B;32;GM7;GM7;A;Bs4,B;GM7;GM7;A;F#7,(F#7,N)
C1;44;Bm;A6;GM7;A6;Bm;A6;GM7;A6;GM7,A6;(Bm,N),(N,A);(Bm,N),N
A0;32;Bm;A6;GM7;A6;Bm;A6;GM7;A6
B;32;GM7;GM7;A;Bs4,B;GM7;GM7;A;F#7,(F#7,N)
C2;40;Bm;A6;GM7;A6;Bm;A6;GM7;A6;GM7,A6;(Bm,N),N
X0/A;32;Bm;A6;GM7;A6;Bm;A6;GM7;A6
|Y/2;16;G;A;F#7;(F#+,F#7),(Bm,A6)
B;32;GM7;GM7;A;Bs4,B;GM7;GM7;A;F#7,(F#7,N)
D0?C0~;32;GM7;F#m7;Em7;F#m7;GM7;F#m7;Em7;F#m7
D?C~;32;GM7;F#m7;Em7;F#m7;GM7;F#m7;Em7;F#m7
D*?C*~;32;GM7;F#m7;Em7;F#m7;GM7;F#m7;Em7;F#m7,F#7
L;44;Bm;Bm,(Bm,%);F,%;Bm;Bm,(Bm,%);F,(F,%);Bm;Bm,(Bm,%);F6;F6;F#,%;Bm;Bm
