I-|I;32;F#s2;C#6;Ebm7;Abm7,(C#7s4,C#);F#;C#s4;Abm7;C#s2s4
A;32;F#;C#6;Ebm7;D6,C#7;F#;C#6;Ebm7;B,(C#,Abm)
B;36;B,F#;C#s4,(C#,Abm);B,F#;C#s4,(C#,Abm);B,Bb;Ebm,F#;B,Bs2;C#s2s4;(C#7,N),(N,C#s4)
C1;32;F#s2,F#;Bb+;Ebm7;C#m6,F#7;B;Abm7;C#s4;C#,(C#,Abm)
C2';32;F#s2,F#;Bb+;Ebm7;C#m6,F#7;B,(B,Bm6);C#s4,(C#s4,C#);F#;F#
A+;32;F#;C#6;Ebm7;D6,C#7;F#;C#6;Ebm7;B,(C#,Abm)
B+;36;B,F#;C#s4,(C#,Abm);B,F#;C#s4,(C#,Abm);B,Bb;Ebm,F#;B,Bs2;C#s2s4;(C#7,N),(N,C#s4)
C1;32;F#s2,F#;Bb+;Ebm7;C#m6,F#7;B;Abm7;C#s4;C#,(C#,Abm)
C3';32;F#s2,F#;Bb+;Ebm7;C#m6,F#7;B,(B,Bm6);C#s4,(C#s4,C#);F#;F#7
X;32;B&9;F#&9;Abm7,(Abm7,F#M7);F#,F#7;B&9;F#&9;D;E6
C1;32;F#s2,F#;Bb+;Ebm7;C#m6,F#7;B;Abm7;C#s4;C#,(C#,Abm)
C4'_;24;F#s2,F#;Bb+;Ebm7;C#m6,F#7;B,(B,Bm6);C#s4,(C#s4,C#);[F#];[C#6]
(5/4)I~;40;F#;C#6;Ebm7;Abm7,C#;F#;C#;B&9,(B,B&9);BM7,B6;F#;F#
