-;6;N;N,%
H-|H;32;(Fm7,N),Ab6;(Fm7,N),Ab6;(Fm7,N),Ab6;(Fm7,N),Ab6;(Fm7,N),Ab6;(Fm7,N),Ab6;(Fm7,N),Ab6;Fm7
I0/A;32;Fm7s4,Eb6s2;C#6s2,(C#6s2,Eb6s2);Fm7s4,Eb6s2;C#6s2,(C#6s2,Eb6s2);Fm7s4,Eb6s2;C#6s2,(C#6s2,Eb6s2);Fm7s4,Eb6s2;Fm7s4,C#6s2
A0;32;Fm7s4,Eb6s2;C#6s2,(C#6s2,Eb6s2);Fm7s4,Eb6s2;C#6s2,(C#6s2,Eb6s2);Fm7s4,Eb6s2;C#6s2,(C#6s2,Eb6s2);Fm7s4,Eb6s2;Fm7s4,C#6s2
A1+;32;Fm7s4,Eb6s2;C#6s2,(C#6s2,Eb6s2);Fm7s4,Eb6s2;C#6s2,(C#6s2,Eb6s2);Fm7s4,Eb6s2;C#6s2,(C#6s2,Eb6s2);Fm7s4,Eb6s2;Fm7s4,C#6s2
B;32;Eb;C#M7;Eb;Fm;Eb;C#M7;Dm7;G7,Cm
C1;32;C#s2;Eb7;Cm7;Fm7;Bbm6;C7;C#;Eb
C2;32;C#s2;Eb7;Cm7;Fm7;Bbm6;C7;C#;Eb
I0/A;32;Fm7s4,Eb6s2;C#6s2,(C#6s2,Eb6s2);Fm7s4,Eb6s2;C#6s2,(C#6s2,Eb6s2);Fm7s4,Eb6s2;C#6s2,(C#6s2,Eb6s2);Fm7s4,Eb6s2;Fm7s4,C#6s2
A0;32;Fm7s4,Eb6s2;C#6s2,(C#6s2,Eb6s2);Fm7s4,Eb6s2;C#6s2,(C#6s2,Eb6s2);Fm7s4,Eb6s2;C#6s2,(C#6s2,Eb6s2);Fm7s4,Eb6s2;Fm7s4,C#6s2
A1+;32;Fm7s4,Eb6s2;C#6s2,(C#6s2,Eb6s2);Fm7s4,Eb6s2;C#6s2,(C#6s2,Eb6s2);Fm7s4,Eb6s2;C#6s2,(C#6s2,Eb6s2);Fm7s4,Eb6s2;Fm7s4,C#6s2
B;32;Eb;C#M7;Eb;Fm;Eb;C#M7;Dm7;G7,Cm
C1;32;C#s2;Eb7;Cm7;Fm7;Bbm6;C7;C#;Eb
C2;32;C#s2;Eb7;Cm7;Fm7;Bbm6;C7;C#;Eb
I0'/A;32;Fm7s4,Eb6s2;C#6s2,(C#6s2,Eb6s2);Fm7s4,Eb6s2;C#6s2,(C#6s2,Eb6s2);Fm7s4,Eb6s2;C#6s2,(C#6s2,Eb6s2);Fm7s4,Eb6s2;Fm7s4,C#6s2
I0'>/A;32;Fm7s4,Eb6s2;C#6s2,(C#6s2,Eb6s2);Fm7s4,Eb6s2;C#6s2,(C#6s2,Eb6s2);Fm7s4,Eb6s2;C#6s2,(C#6s2,Eb6s2);Fm7s4,Eb6s2;Fm7s4,C#6s2
