H;10;N;N;N,%;;;;;;;;;
(1/2)I--;16;N;N;N;N;;;;;;;;
I-|I;32;Em;Em7;Em;Em7;Em;Em7;Em;Em7;;;;
A1;32;Em;Em7;Em;Em6;Em;Em7;Em;Em6;;;;
A2;32;Em;Em7;Em;Em6;Em;Em7;Em;Em6;;;;
B;32;CM7;CM7;G;GM7,G;A7;A7;Am,Bm7;C,D;;;;
C1;32;G;G;D;D;Em;Em;C;Fm,D;;;;
C'2;32;G;G;D;D;Em;Em;C;D,B7d9*;;;;
I-|;16;Em;Em7;Em;Em7;;;;;;;;
A1;32;Em;Em7;Em;Em6;Em;Em7;Em;Em6;;;;
A2;32;Em;Em7;Em;Em6;Em;Em7;Em;Em6;;;;
B;32;CM7;CM7;G;GM7,G;A7;A7;Am,Bm7;C,D;;;;
C1;32;G;G;D;D;Em;Em;C;Fm,D;;;;
C'3;32;G;G;D;D;Em;Em;C;D,B7;;;;
X;32;Am;Am;C;C;G;G;G;G,(G,F);;;;
(3/2)Y;48;Eb;Eb;Dm;Gm;Cm,Dm;Eb;Cm,Dm;Eb,(Eb,D);D;D;D;D
C1;32;G;G;D;D;Em;Em;C;Fm,D;;;;
C'4;32;G;G;D;D;Em;Em;C;D;;;;
C5;32;G;G;D;D;Em;Em;C;Fm,D;;;;
C'2;32;G;G;D;D;Em;Em;C;D,B7d9*;;;;
I';32;Em;Em7;Em;Em7;Em;Em7;Em;Em7;;;;
