-;4;N
I1;32;E;F#7;A;E,(E,A);E;F#7;A;E,(A,B)
A1;32;E;B;A;E,(E,Abm);C#m;F#7;A6;Bs4,B
A2;32;E;B;A;E,(E,Abm);C#m;F#7;A6;B7,(B7s4,B7)
B;40;AM7;B;Cm#7;D6,(E6,D6);AM7;Abm7,C#7;F#m7,Abm7;AM7,F#9*;B;Bs4,B
C1;32;E;F#7;A;B;Abm7;C#m7;F#m7;B
C2;32;E;F#7;A;B;Abm7;C#m7;F#m7,B7;E
X;32;EM7;GM7;F#m7;F9*,B+;EM7;GM7;F#m7;A,B
A2;32;E;B;A;E,(E,Abm);C#m;F#7;A6;B7,(B7s4,B7)
B;40;AM7;B;Cm#7;D6,(E6,D6);AM7;Abm7,C#7;F#m7,Abm7;AM7,F#9*;B;Bs4,B
C1;32;E;F#7;A;B;Abm7;C#m7;F#m7;B
C2;32;E;F#7;A;B;Abm7;C#m7;F#m7,B7;E
C#1;32;F;G7;Bb;C;Am7;Dm7;Gm7;C
C#2;32;F;G7;Bb;C;Am7;Dm7;Gm7,C7;F
I#2;32;F;G7;Bb;F,(F,Bb);F;G7;Bb;(F,N),N
