-;2;%,N
H;32;B;N,(N,C);B;N;B;N,(N,C);B;N
I-;32;FM7;FM7;E;E;FM7;FM7;E;E
I;32;FM7;FM7;E;E;FM7;FM7;E;E
A1;32;FM7;FM7;Em7;Em7,E;Am7;Gm7,C6;FM7;FM7
A2;32;FM7;FM7;Em7;Em7,E;Am7;Gm7,C6;FM7;FM7
B;32;Am;E;C;D9*;Dm7,Em7;FM7;G6;G6
C1;32;C;G,C;Bb6;F;Fm;C;FM7;Es4
C2;32;C;G,C;Bb6;F;Fm;C;FM7;G6
I';32;FM7;FM7;E;E;FM7;FM7;E;E
A1;32;FM7;FM7;Em7;Em7,E;Am7;Gm7,C6;FM7;FM7
A2;32;FM7;FM7;Em7;Em7,E;Am7;Gm7,C6;FM7;FM7
B;32;Am;E;C;D9*;Dm7,Em7;FM7;G6;G6
C1;32;C;G,C;Bb6;F;Fm;C;FM7;Es4
C2;32;C;G,C;Bb6;F;Fm;C;FM7;G6
X0;32;Am7;Am7;Gm;Gm;Am7;Am7;Gm;Gm
(3/4)Y<X0;24;Dm7;Em7;Fm7;Fm7;G6;G6
C1;32;C;G,C;Bb6;F;Fm;C;FM7;Es4
C2;32;C;G,C;Bb6;F;Fm;C;FM7;G6
I;32;FM7;FM7;E;E;FM7;FM7;E;E
I''>;32;FM7;FM7;E;E;FM7;FM7;E;E
-;16;FM7;FM7;E,N;N
