-;8;N;N,(N,G)
I;36;Am;F;G&9;F,(F,G);Am;F;G&9;F;F,(F,G)
A;32;Am;F;G&9;F,(F,G);Am;F;G&9;FM7,(FM7,G)
B;32;Am;F;G&9;F,(F,G);Am;F;G&9;F
P;32;Fm7;Gm7;C,Cs2;Cs4,C;Fm7;Gm7;Ab;Gm7,G7
C0;32;Am;G&9;Am;F,G;Am;G&9;Am;F,G
A;32;Am;F;G&9;F,(F,G);Am;F;G&9;FM7,(FM7,G)
B;32;Am;F;G&9;F,(F,G);Am;F;G&9;F
P;32;Fm7;Gm7;C,Cs2;Cs4,C;Fm7;Gm7;Ab;Gm7,G7
C0;32;Am;G&9;Am;F,G;Am;G&9;Am;F,G
X;32;A;G;F;G;A;G;F;G
Y/B;32;Am;F;G&9;F,(F,G);Am;F;G&9;F
P;32;Fm7;Gm7;C,Cs2;Cs4,C;Fm7;Gm7;Ab;Gm7,G7
D?C~|C0;32;Am;Am;Am;F,G;Am;G&9;Am;F,G
C0;32;Am;G&9;Am;F,G;Am;G&9;Am;F,G
C0>;32;Am;G&9;Am;F,G;Am;G&9;Am;F,G
(1/2)C0>;16;Am;G&9;Am;N
