I;32;D&9;C&9;D&9;C&9;D&9;C&9;D&9;C&9
(1/2)|(J/B)<I;16;Em7;Em7;As4&9;A
A1;32;D;A;Bm7;D;G;D;Em7;A
A2';32;D;A;Bm7;D;G;D;Em7;A
B;32;F#m7;Bm;F#m7;Bm;Em7;Em7;A7s4;A
C;32;D;F#m7;G;A7s4,A;D;F#m7;G;A7s4,A
C;32;D;F#m7;G;A7s4,A;D;F#m7;G;A7s4,A
|D<C;16;Em7;A;D;D
A1;32;D;A;Bm7;D;G;D;Em7;A
B;32;F#m7;Bm;F#m7;Bm;Em7;Em7;A7s4;A
C;32;D;F#m7;G;A7s4,A;D;F#m7;G;A7s4,A
C;32;D;F#m7;G;A7s4,A;D;F#m7;G;A7s4,A
C;32;D;F#m7;G;A7s4,A;D;F#m7;G;A7s4,A
C;32;D;F#m7;G;A7s4,A;D;F#m7;G;A7s4,A
D*<C;40;Em7;A;Bm,D;E7*;Em7;A;D;G,(D,Em7);D;(D,N),N
