I-|I;32;CM7,Dm7;Em7,Dm7;CM7,Dm7;Em7,Dm7;CM7,Dm7;Em7,Dm7;CM7,Dm7;Em7,Dm7
A;32;CM7,FM7;Em7,Am7;Dm7;G7s4,(G7,G7s4);CM7,FM7;Em7,Am7;Dm7;G7s4,(G7,G7s4)
B;36;Em7;Am7;Dm7,G7s4;CM7,(E7s4,E7);Am7,(Gm7,C7);FM7,(CM7,Dm7);BbM7;A7s4;(A7s4,A7),(A7s4,A7)
C1;32;D;DM7;DM7;D7;G;D;Em7;G&9,A&9
(5/4)C2;40;D;DM7;DM7;D7;G;D;Em7;Gm;EbM7s4;EbM7s4
J;32;AbM7;Gm7;Fm7;EbM7;FM7;Em7;Dm;Em,G7
A;32;CM7,FM7;Em7,Am7;Dm7;G7s4,(G7,G7s4);CM7,FM7;Em7,Am7;Dm7;G7s4,(G7,G7s4)
B;36;Em7;Am7;Dm7,G7s4;CM7,(E7s4,E7);Am7,(Gm7,C7);FM7,(CM7,Dm7);BbM7;A7s4;(A7s4,A7),(A7s4,A7)
C1;32;D;DM7;DM7;D7;G;D;Em7;G&9,A&9
(5/4)C3;40;D;DM7;DM7;D7;G;D;Em7;Gm;Em;A7s4,A7
C1;32;D;DM7;DM7;D7;G;D;Em7;G&9,A&9
(5/4)C3;36;D;DM7;DM7;D7;G;D;Em7;Gm;D
I#0>;32;DM7,Em7;F#m7,Em7;DM7,Em7;F#m7,Em7;DM7,Em7;F#m7,Em7;DM7,Em7;F#m7,Em7
