I-;28;C,F;F,%;C,Gs4;G,%;F,C;Dm7,(F&9,G);C,F&9;C
A-;32;Cs2,C;FM7;CM7;C;Em7;Am7;Dm7,C&9;F&9,(F&9,G)
B-<A;36;Cs2,C;FM7;Em7;Am7;Gm7;C7;F,C;Dm7,Gs4;G,G6
C-;32;C;E7s4,E7;Am7;Gm7,C7;F&9;CM7;Dm7;G7s4,G7
D-<C;32;Am7;Gm7,C7;FM7;Fm6;Em7,A+7;Dm7,F&9;F6;C
|I;16;F,C;Dm7,(F&9,G);C,F&9;C
A;32;Cs2,C;FM7;CM7;C;Em7;Am7;Dm7,C&9;F&9,(F&9,G)
B<A;36;Cs2,C;FM7;Em7;Am7;Gm7;C7;F,C;Dm7,Gs4;G,G6
C;32;C;E7s4,E7;Am7;Gm7,C7;F&9;CM7;Dm7;G7s4,G7
D<C;32;Am7;Gm7,C7;FM7;Fm6;Em7,A+7;Dm7,F&9;F6;C
X;28;C7;FM7;Fm6;C&9;D&9,D;F&9,E7;E7
Y<X;28;Am;E7s4,E7;C&9;D&9;F;F&9;F&9,(F&9,G)
C;32;C;E7s4,E7;Am7;Gm7,C7;F&9;CM7;Dm7;G7s4,G7
D*<C;32;Am7;Gm7,C7;FM7;Fm6;Em7,A+7;Dm7,F&9;Em7,A+7;Dm7,F&9
|D~;32;Em7,A+7;Dm7,F&9;F6;F6;C;C;C;C
